Shipment_ID,Origin,Destination,Transport_Mode,Distance_km,Shipment_Volume_kg,Traffic_Level,Weather,Priority,Warehouse_Delay_hours,Transportation_Cost_INR,Delivery_Time_days
SHP20020,Delhi,Kochi,Road,1900,373,7,Storm,Standard,1.08,4623.23,9.66
SHP20021,Chennai,Coimbatore,Rail,895,146,7,Rain,Standard,1.34,1345.77,7.93
SHP20022,Bangalore,Pune,Road,2053,94,7,Rain,Standard,1.19,4427.46,8.98
SHP20023,Mumbai,Delhi,Road,1798,380,3,Clear,Standard,0.97,3808.89,8.0
SHP20024,Chennai,Mumbai,Road,735,223,6,Clear,Standard,2.22,1584.74,8.01
SHP20025,Delhi,Coimbatore,Road,1617,68,8,Storm,Urgent,2.23,3553.99,9.39
SHP20026,Bangalore,Chennai,Air,1295,98,4,Clear,Standard,0.84,8066.15,4.59
SHP20027,Chennai,Chennai,Road,88,460,8,Rain,Standard,1.54,1368.47,7.01
SHP20028,Hyderabad,Mumbai,Road,829,498,2,Rain,Standard,2.32,2062.33,8.97
SHP20029,Mumbai,Kochi,Rail,1306,260,10,Clear,Standard,2.41,2269.26,9.9
SHP20030,Chennai,Coimbatore,Road,1977,368,9,Storm,Standard,1.27,4287.68,10.05
SHP20031,Bangalore,Chennai,Rail,351,173,9,Clear,Standard,1.13,1080.06,7.0
SHP20032,Hyderabad,Delhi,Road,696,293,8,Clear,Standard,0.7,2035.22,5.27
SHP20033,Bangalore,Bangalore,Road,712,115,10,Clear,Urgent,2.4,2249.6,7.31
SHP20034,Bangalore,Kochi,Sea,1809,233,10,Clear,Standard,0.36,2384.16,11.85
SHP20035,Hyderabad,Coimbatore,Sea,305,313,1,Clear,Standard,1.45,569.5,8.84
SHP20036,Bangalore,Delhi,Air,647,228,2,Clear,Urgent,0.71,4096.68,2.31
SHP20037,Hyderabad,Coimbatore,Road,711,362,6,Rain,Standard,0.7,2008.97,6.75
SHP20038,Chennai,Pune,Road,284,107,10,Storm,Urgent,1.01,986.55,7.1
SHP20039,Hyderabad,Delhi,Rail,1418,325,5,Clear,Standard,2.5,2549.25,10.0
SHP20040,Hyderabad,Kochi,Road,819,283,9,Clear,Urgent,0.14,2414.26,5.96
SHP20041,Mumbai,Pune,Road,262,444,5,Rain,Standard,1.45,1024.5,6.31
SHP20042,Hyderabad,Kochi,Road,512,409,2,Clear,Standard,0.21,1096.6,4.6
SHP20043,Hyderabad,Chennai,Road,332,344,10,Clear,Urgent,0.39,1656.95,5.11
SHP20044,Chennai,Bangalore,Sea,1536,447,4,Clear,Standard,1.1,1913.72,11.13
SHP20045,Mumbai,Kochi,Road,1480,396,9,Clear,Standard,1.28,3551.53,8.06
SHP20046,Delhi,Kochi,Rail,137,339,1,Clear,Standard,0.65,653.92,5.24
SHP20047,Chennai,Chennai,Road,1117,176,1,Storm,Standard,0.79,2446.12,8.64
SHP20048,Chennai,Hyderabad,Road,510,175,7,Clear,Standard,0.22,1752.15,4.91
SHP20049,Delhi,Chennai,Road,1774,158,3,Clear,Standard,0.76,3312.75,6.94
SHP20050,Hyderabad,Pune,Road,1426,140,10,Clear,Standard,2.42,3228.7,9.19
SHP20051,Bangalore,Chennai,Sea,564,84,2,Clear,Standard,2.36,1023.56,9.68
SHP20052,Mumbai,Chennai,Air,752,126,9,Rain,Standard,0.84,5112.7,5.1
SHP20053,Bangalore,Bangalore,Sea,1703,166,3,Rain,Standard,1.43,2172.15,11.28
SHP20054,Delhi,Chennai,Air,2116,156,2,Rain,Standard,2.27,12639.95,7.89
SHP20055,Chennai,Coimbatore,Rail,72,430,8,Clear,Standard,0.02,1028.65,6.04
SHP20056,Chennai,Kochi,Sea,1103,181,10,Rain,Standard,2.03,1695.31,12.41
SHP20057,Mumbai,Coimbatore,Road,1880,447,6,Rain,Standard,2.37,3951.87,9.54
SHP20058,Chennai,Bangalore,Road,1354,471,6,Rain,Standard,0.23,3268.02,6.8
SHP20059,Chennai,Mumbai,Road,1184,119,10,Clear,Standard,0.4,2798.47,5.71
SHP20060,Mumbai,Hyderabad,Road,411,357,7,Clear,Standard,2.4,983.41,6.95
SHP20061,Mumbai,Coimbatore,Road,1949,418,7,Clear,Urgent,1.34,4450.55,6.55
SHP20062,Delhi,Bangalore,Road,1334,326,6,Rain,Standard,0.04,3389.7,6.66
SHP20063,Chennai,Pune,Air,564,160,4,Clear,Standard,0.64,3610.27,3.06
SHP20064,Chennai,Mumbai,Road,498,102,9,Clear,Standard,1.12,1463.33,6.15
SHP20065,Delhi,Bangalore,Road,1973,196,6,Rain,Urgent,1.73,4394.74,8.68
SHP20066,Hyderabad,Bangalore,Road,1556,217,4,Rain,Urgent,1.83,3444.26,8.64
SHP20067,Hyderabad,Hyderabad,Road,1297,131,3,Rain,Standard,2.49,2640.6,10.02
SHP20068,Hyderabad,Kochi,Air,1905,75,4,Clear,Standard,0.72,11820.95,5.85
SHP20069,Delhi,Coimbatore,Road,923,479,3,Rain,Urgent,1.35,1985.34,6.56
SHP20070,Chennai,Pune,Sea,1478,198,2,Clear,Standard,1.33,1511.25,10.2
SHP20071,Delhi,Delhi,Air,1804,440,5,Clear,Standard,1.01,11851.37,6.5
SHP20072,Delhi,Coimbatore,Road,972,420,2,Clear,Standard,0.42,2280.16,4.73
SHP20073,Hyderabad,Delhi,Road,1086,205,6,Clear,Standard,2.44,2384.67,7.83
SHP20074,Bangalore,Bangalore,Air,1466,490,3,Clear,Urgent,2.13,9645.88,5.76
SHP20075,Chennai,Chennai,Rail,363,237,6,Rain,Urgent,1.25,936.06,7.74
SHP20076,Hyderabad,Pune,Rail,2047,432,10,Clear,Standard,1.51,3586.26,11.09
SHP20077,Bangalore,Mumbai,Air,1087,436,9,Rain,Standard,0.57,7348.02,5.31
SHP20078,Bangalore,Chennai,Road,1706,335,1,Clear,Urgent,1.36,3151.43,6.57
SHP20079,Mumbai,Chennai,Road,1828,494,6,Clear,Standard,1.74,4605.58,9.02
SHP20080,Chennai,Coimbatore,Road,1064,236,9,Clear,Standard,1.29,3172.91,6.79
SHP20081,Bangalore,Pune,Air,1143,139,4,Clear,Urgent,2.48,7478.86,6.05
SHP20082,Hyderabad,Kochi,Rail,1174,458,2,Clear,Standard,1.53,1123.69,8.93
SHP20083,Mumbai,Bangalore,Road,747,413,4,Clear,Standard,0.93,2118.47,6.16
SHP20084,Chennai,Bangalore,Road,1454,194,1,Clear,Standard,1.93,3000.91,7.62
SHP20085,Delhi,Bangalore,Road,1205,42,3,Clear,Urgent,0.43,2281.74,4.71
SHP20086,Hyderabad,Bangalore,Road,1093,232,10,Clear,Standard,0.96,2775.48,6.71
SHP20087,Bangalore,Coimbatore,Rail,1979,424,9,Rain,Standard,0.87,3232.06,10.35
SHP20088,Bangalore,Delhi,Rail,1063,254,10,Clear,Standard,1.08,2087.66,8.94
SHP20089,Hyderabad,Bangalore,Air,276,32,5,Rain,Urgent,1.95,1881.95,4.41
SHP20090,Bangalore,Delhi,Road,1878,120,6,Rain,Urgent,1.21,3793.8,7.65
SHP20091,Mumbai,Delhi,Road,1542,436,3,Storm,Standard,1.99,3437.25,10.18
SHP20092,Chennai,Kochi,Rail,871,43,5,Rain,Standard,1.44,1161.51,8.45
SHP20093,Mumbai,Bangalore,Air,2073,383,8,Clear,Standard,0.86,12729.33,6.14
SHP20094,Bangalore,Hyderabad,Rail,920,30,6,Rain,Urgent,2.02,1090.09,8.84
SHP20095,Delhi,Mumbai,Air,2135,292,4,Rain,Standard,0.6,13233.03,5.89
SHP20096,Chennai,Chennai,Road,1845,471,2,Clear,Urgent,0.56,4539.84,5.58
SHP20097,Chennai,Delhi,Road,237,450,9,Clear,Standard,1.26,1060.11,6.32
SHP20098,Hyderabad,Pune,Road,1130,300,1,Clear,Urgent,0.65,2375.64,4.85
SHP20099,Hyderabad,Pune,Road,990,113,1,Rain,Urgent,0.02,1821.38,4.68
SHP20100,Delhi,Mumbai,Road,575,220,4,Rain,Standard,1.62,1495.63,6.4
SHP20101,Chennai,Pune,Road,385,40,7,Clear,Urgent,1.28,1345.81,5.79
SHP20102,Delhi,Hyderabad,Rail,1128,359,1,Clear,Standard,1.11,2325.17,7.49
SHP20103,Hyderabad,Pune,Road,211,486,9,Clear,Standard,2.42,1245.75,7.26
SHP20104,Hyderabad,Chennai,Road,643,230,4,Clear,Standard,1.43,1668.0,6.36
SHP20105,Chennai,Chennai,Sea,1988,159,3,Storm,Standard,2.16,1845.78,12.93
SHP20106,Mumbai,Delhi,Road,109,312,1,Clear,Standard,0.35,439.66,3.27
SHP20107,Bangalore,Bangalore,Road,1951,317,10,Clear,Standard,1.42,4694.59,9.07
SHP20108,Hyderabad,Kochi,Air,455,420,4,Clear,Standard,2.17,3274.28,4.86
SHP20109,Hyderabad,Hyderabad,Road,713,120,9,Rain,Standard,1.46,1808.43,6.93
SHP20110,Mumbai,Delhi,Road,1182,323,10,Clear,Standard,1.8,2998.36,8.48
SHP20111,Mumbai,Hyderabad,Road,1149,378,6,Rain,Standard,0.93,2700.49,7.08
SHP20112,Delhi,Bangalore,Road,591,47,6,Clear,Standard,0.23,1415.56,4.71
SHP20113,Delhi,Coimbatore,Sea,1387,60,1,Clear,Standard,1.14,811.45,9.34
SHP20114,Bangalore,Pune,Air,1047,374,10,Clear,Standard,0.99,7199.31,5.58
SHP20115,Bangalore,Pune,Rail,1190,322,2,Clear,Standard,2.17,2494.74,9.8
SHP20116,Chennai,Kochi,Air,917,165,6,Clear,Standard,0.61,5763.74,3.05
SHP20117,Delhi,Bangalore,Air,2116,275,2,Storm,Urgent,2.42,13175.71,8.33
SHP20118,Hyderabad,Delhi,Road,481,481,3,Rain,Urgent,2.4,1712.79,7.7
SHP20119,Delhi,Kochi,Air,789,246,4,Storm,Standard,0.62,5476.95,5.15
SHP20120,Hyderabad,Bangalore,Road,1423,255,5,Clear,Urgent,0.87,3184.42,5.65
SHP20121,Mumbai,Mumbai,Air,232,380,9,Storm,Urgent,2.24,1693.17,6.62
SHP20122,Delhi,Chennai,Air,1256,399,4,Clear,Urgent,2.42,8201.66,6.41
SHP20123,Mumbai,Kochi,Road,1219,474,9,Clear,Standard,1.11,3211.76,8.1
SHP20124,Bangalore,Kochi,Road,880,32,10,Clear,Urgent,0.8,2052.38,5.91
SHP20125,Bangalore,Delhi,Road,1701,229,3,Clear,Standard,1.32,3679.72,7.49
SHP20126,Chennai,Hyderabad,Road,1186,248,8,Rain,Standard,1.72,2911.12,7.93
SHP20127,Delhi,Mumbai,Air,525,416,1,Clear,Standard,0.68,3753.84,3.82
SHP20128,Mumbai,Delhi,Air,1376,119,9,Clear,Standard,1.84,8787.8,6.7
SHP20129,Hyderabad,Bangalore,Road,1020,50,9,Clear,Standard,0.13,2345.58,5.11
SHP20130,Bangalore,Bangalore,Road,1069,405,10,Clear,Standard,0.12,2948.57,6.63
SHP20131,Bangalore,Bangalore,Road,1191,35,2,Clear,Standard,0.97,2412.24,6.32
SHP20132,Hyderabad,Coimbatore,Road,1886,156,4,Clear,Urgent,0.88,4212.91,7.17
SHP20133,Mumbai,Bangalore,Road,210,348,8,Rain,Urgent,0.79,856.34,5.6
SHP20134,Mumbai,Hyderabad,Road,247,185,7,Rain,Standard,1.23,923.76,5.91
SHP20135,Delhi,Mumbai,Sea,1333,478,1,Clear,Urgent,0.8,1091.67,9.13
SHP20136,Delhi,Pune,Road,709,329,5,Clear,Urgent,0.48,1796.62,4.41
SHP20137,Chennai,Chennai,Road,1825,459,7,Clear,Urgent,0.77,4449.97,7.25
SHP20138,Bangalore,Hyderabad,Rail,1120,489,4,Rain,Standard,2.44,1777.67,10.28
SHP20139,Delhi,Hyderabad,Road,2060,500,1,Clear,Standard,1.03,4524.97,8.98
SHP20140,Mumbai,Coimbatore,Sea,448,119,9,Clear,Urgent,1.11,250.0,9.39
SHP20141,Hyderabad,Pune,Sea,1783,128,5,Clear,Standard,1.44,1508.08,11.8
SHP20142,Mumbai,Pune,Road,1632,362,2,Clear,Standard,2.46,3383.18,8.81
SHP20143,Bangalore,Chennai,Road,2175,192,8,Clear,Standard,0.6,4828.24,7.74
SHP20144,Mumbai,Chennai,Road,124,256,2,Rain,Standard,1.7,631.75,6.03
SHP20145,Chennai,Pune,Road,651,181,3,Clear,Standard,1.79,1555.89,6.24
SHP20146,Bangalore,Bangalore,Road,886,412,10,Clear,Standard,1.52,2397.15,7.68
SHP20147,Hyderabad,Hyderabad,Rail,1578,235,1,Rain,Standard,0.22,2203.12,8.35
SHP20148,Chennai,Delhi,Road,549,283,2,Rain,Urgent,1.69,1601.71,6.22
SHP20149,Bangalore,Chennai,Road,1646,282,7,Clear,Urgent,0.16,3844.0,5.99
SHP20150,Hyderabad,Coimbatore,Road,187,311,10,Clear,Standard,1.49,920.41,6.08
SHP20151,Chennai,Coimbatore,Sea,2147,293,2,Clear,Urgent,1.85,2486.77,10.71
SHP20152,Chennai,Chennai,Road,1844,22,6,Storm,Standard,0.53,4405.29,9.22
SHP20153,Bangalore,Pune,Road,1022,47,3,Clear,Standard,2.1,1879.86,8.2
SHP20154,Delhi,Mumbai,Road,1692,345,4,Storm,Urgent,0.08,3965.13,8.13
SHP20155,Chennai,Delhi,Sea,1935,447,8,Rain,Urgent,2.11,3039.82,12.38
SHP20156,Chennai,Delhi,Road,2078,168,3,Clear,Urgent,1.15,4482.25,7.55
SHP20157,Hyderabad,Chennai,Rail,1950,47,10,Clear,Standard,0.54,2956.16,9.66
SHP20158,Mumbai,Bangalore,Air,1499,329,6,Clear,Urgent,0.33,9568.42,4.04
SHP20159,Bangalore,Mumbai,Road,596,457,1,Clear,Standard,2.38,1760.85,7.28
SHP20160,Bangalore,Delhi,Rail,971,84,7,Clear,Standard,0.18,1771.62,6.78
SHP20161,Delhi,Chennai,Road,630,375,8,Rain,Standard,0.5,1566.31,7.43
SHP20162,Delhi,Coimbatore,Rail,1422,40,8,Storm,Standard,0.87,2157.98,10.22
SHP20163,Bangalore,Delhi,Rail,2006,271,3,Clear,Standard,1.55,2389.33,9.16
SHP20164,Delhi,Kochi,Road,2053,254,10,Rain,Urgent,1.36,4632.27,9.33
SHP20165,Hyderabad,Mumbai,Road,2146,246,1,Clear,Standard,0.31,4322.73,7.43
SHP20166,Bangalore,Mumbai,Air,753,32,9,Clear,Standard,0.72,4954.59,4.23
SHP20167,Delhi,Kochi,Road,1675,332,6,Clear,Standard,0.6,3444.7,7.45
SHP20168,Bangalore,Hyderabad,Road,687,68,9,Clear,Standard,0.53,1622.12,5.65
SHP20169,Mumbai,Coimbatore,Road,1059,137,7,Storm,Urgent,1.03,2727.94,6.95
SHP20170,Chennai,Kochi,Rail,690,73,1,Rain,Standard,1.76,828.62,8.09
SHP20171,Bangalore,Pune,Rail,1911,157,1,Clear,Standard,0.54,2184.37,8.41
SHP20172,Chennai,Pune,Road,1255,72,6,Clear,Urgent,0.92,2849.18,5.86
SHP20173,Delhi,Chennai,Road,735,63,5,Clear,Standard,0.98,1555.07,6.16
SHP20174,Chennai,Mumbai,Road,1901,322,9,Clear,Standard,2.44,4360.33,9.48
SHP20175,Bangalore,Hyderabad,Rail,237,72,2,Rain,Standard,2.39,260.43,8.09
SHP20176,Mumbai,Hyderabad,Road,1669,93,8,Rain,Standard,2.0,4195.3,9.63
SHP20177,Delhi,Delhi,Rail,1737,65,5,Clear,Standard,0.6,2102.08,8.4
SHP20178,Bangalore,Delhi,Road,1034,32,2,Clear,Standard,0.17,2875.17,4.71
SHP20179,Delhi,Kochi,Sea,597,184,10,Clear,Urgent,0.79,890.84,9.58
SHP20180,Hyderabad,Hyderabad,Road,1481,121,6,Clear,Urgent,0.67,3326.76,5.7
SHP20181,Chennai,Kochi,Road,925,299,10,Clear,Standard,1.26,2325.4,6.81
SHP20182,Hyderabad,Coimbatore,Road,667,277,8,Clear,Standard,1.94,1709.14,5.7
SHP20183,Bangalore,Kochi,Sea,1415,489,4,Rain,Urgent,2.15,1486.24,11.64
SHP20184,Mumbai,Delhi,Air,1293,356,2,Rain,Standard,2.11,8387.71,7.33
SHP20185,Delhi,Mumbai,Road,952,375,5,Clear,Standard,0.9,2063.8,5.26
SHP20186,Chennai,Kochi,Rail,212,417,2,Clear,Standard,1.72,811.93,6.83
SHP20187,Delhi,Bangalore,Air,2024,157,2,Clear,Urgent,0.78,11848.43,4.98
SHP20188,Bangalore,Mumbai,Rail,319,182,6,Clear,Standard,0.15,856.88,4.85
SHP20189,Delhi,Hyderabad,Road,681,428,10,Rain,Standard,1.75,2309.49,7.96
SHP20190,Chennai,Hyderabad,Road,955,406,9,Clear,Standard,0.02,2271.77,6.68
SHP20191,Bangalore,Kochi,Road,2064,130,4,Clear,Urgent,1.02,4554.69,8.16
SHP20192,Delhi,Mumbai,Air,1691,121,6,Clear,Standard,0.82,10508.0,5.49
SHP20193,Mumbai,Delhi,Sea,254,36,7,Rain,Urgent,1.73,893.01,9.08
SHP20194,Bangalore,Delhi,Rail,631,287,6,Clear,Standard,1.92,1074.8,7.92
SHP20195,Bangalore,Pune,Road,1629,201,8,Clear,Standard,0.76,4422.9,7.41
SHP20196,Mumbai,Hyderabad,Road,890,391,4,Clear,Standard,2.03,1674.2,7.49
SHP20197,Hyderabad,Chennai,Rail,1886,43,1,Rain,Standard,0.73,2443.12,9.83
SHP20198,Chennai,Pune,Air,1301,48,7,Storm,Urgent,1.12,7681.56,6.62
SHP20199,Hyderabad,Delhi,Air,1769,190,3,Clear,Standard,1.82,11400.26,6.22
SHP20200,Delhi,Mumbai,Air,1692,428,6,Rain,Urgent,1.73,10788.77,6.6
SHP20201,Mumbai,Coimbatore,Rail,924,247,2,Storm,Standard,2.47,1450.58,12.14
SHP20202,Hyderabad,Delhi,Road,1514,397,9,Rain,Standard,0.56,3811.11,8.42
SHP20203,Bangalore,Mumbai,Road,739,207,1,Clear,Standard,1.66,1698.1,5.76
SHP20204,Delhi,Pune,Air,2060,365,6,Clear,Standard,1.52,12841.31,6.78
SHP20205,Delhi,Hyderabad,Rail,1472,249,6,Clear,Urgent,2.29,2033.54,8.88
SHP20206,Hyderabad,Delhi,Road,2051,340,5,Rain,Standard,0.39,4625.13,6.78
SHP20207,Hyderabad,Kochi,Road,721,359,5,Clear,Standard,1.88,2034.81,7.19
SHP20208,Mumbai,Mumbai,Rail,1221,138,1,Rain,Standard,1.42,1920.34,9.66
SHP20209,Chennai,Hyderabad,Road,1545,175,10,Clear,Standard,0.69,4075.68,6.45
SHP20210,Hyderabad,Coimbatore,Road,993,291,5,Rain,Standard,1.19,1879.46,7.35
SHP20211,Hyderabad,Coimbatore,Road,1499,194,2,Rain,Urgent,0.83,3225.67,6.2
SHP20212,Bangalore,Chennai,Rail,945,484,7,Clear,Standard,1.45,2207.03,9.12
SHP20213,Delhi,Mumbai,Rail,1386,123,3,Rain,Standard,2.22,1986.37,9.84
SHP20214,Chennai,Pune,Road,214,111,4,Clear,Standard,1.42,250.0,4.62
SHP20215,Bangalore,Chennai,Rail,2118,205,3,Rain,Urgent,1.58,2720.14,9.32
SHP20216,Mumbai,Chennai,Road,1155,479,3,Clear,Standard,1.3,2928.24,6.53
SHP20217,Mumbai,Bangalore,Road,1803,302,4,Clear,Standard,0.13,4090.85,7.35
SHP20218,Hyderabad,Delhi,Rail,1988,200,5,Rain,Standard,0.58,3107.53,10.22
SHP20219,Hyderabad,Mumbai,Rail,420,189,1,Clear,Standard,1.23,555.85,6.55
SHP20220,Mumbai,Chennai,Air,1930,206,4,Rain,Standard,0.78,12021.87,6.88
SHP20221,Hyderabad,Bangalore,Rail,902,194,8,Clear,Standard,0.45,1390.73,7.38
SHP20222,Chennai,Pune,Rail,433,241,10,Clear,Urgent,1.26,1194.79,7.14
SHP20223,Hyderabad,Hyderabad,Road,1981,252,7,Clear,Standard,0.81,4447.1,7.87
SHP20224,Delhi,Kochi,Road,474,181,9,Clear,Urgent,0.65,1220.68,5.22
SHP20225,Hyderabad,Kochi,Road,678,440,5,Clear,Standard,1.16,2316.55,6.05
SHP20226,Bangalore,Mumbai,Road,944,153,10,Clear,Standard,0.33,1949.29,6.11
SHP20227,Chennai,Chennai,Sea,647,410,4,Clear,Standard,2.32,912.39,11.24
SHP20228,Bangalore,Kochi,Road,642,499,8,Clear,Standard,2.17,1802.37,7.83
SHP20229,Bangalore,Delhi,Air,1737,243,9,Storm,Urgent,1.77,11475.0,7.9
SHP20230,Delhi,Kochi,Rail,622,172,7,Storm,Standard,0.27,1358.0,8.61
SHP20231,Chennai,Kochi,Air,2125,52,7,Clear,Standard,1.94,12892.47,7.46
SHP20232,Chennai,Kochi,Road,2140,74,5,Rain,Standard,2.02,4451.67,9.45
SHP20233,Chennai,Coimbatore,Rail,1754,461,4,Clear,Urgent,1.92,3300.41,9.2
SHP20234,Chennai,Bangalore,Road,226,26,10,Rain,Standard,0.28,588.83,5.65
SHP20235,Chennai,Chennai,Road,578,263,1,Rain,Urgent,1.61,986.59,5.15
SHP20236,Delhi,Delhi,Rail,1683,332,10,Storm,Standard,2.09,2909.45,12.15
SHP20237,Hyderabad,Chennai,Road,1015,145,10,Clear,Standard,1.44,2588.91,5.94
SHP20238,Bangalore,Coimbatore,Road,1567,31,7,Rain,Standard,1.62,3573.41,7.52
SHP20239,Chennai,Mumbai,Rail,247,35,1,Clear,Standard,1.15,555.76,5.16
SHP20240,Hyderabad,Mumbai,Road,902,227,1,Storm,Standard,1.32,2485.98,8.23
SHP20241,Hyderabad,Mumbai,Sea,1587,62,5,Clear,Standard,0.09,1207.87,9.55
SHP20242,Bangalore,Pune,Sea,2119,392,9,Clear,Urgent,1.6,2137.0,11.47
SHP20243,Delhi,Kochi,Sea,1130,480,6,Rain,Urgent,0.2,1656.55,10.09
SHP20244,Mumbai,Pune,Road,147,154,3,Rain,Standard,1.09,261.19,6.12
SHP20245,Mumbai,Bangalore,Road,1953,247,3,Clear,Standard,0.73,3869.15,7.51
SHP20246,Hyderabad,Mumbai,Sea,484,130,7,Storm,Standard,1.36,1218.56,11.08
SHP20247,Bangalore,Coimbatore,Road,686,326,6,Clear,Standard,0.33,1470.41,5.63
SHP20248,Mumbai,Delhi,Sea,637,476,9,Clear,Standard,1.73,1062.28,11.39
SHP20249,Hyderabad,Chennai,Sea,393,179,6,Clear,Urgent,1.99,647.31,9.17
SHP20250,Delhi,Kochi,Air,1367,350,5,Clear,Standard,0.41,9106.78,4.68
SHP20251,Mumbai,Hyderabad,Road,2029,283,10,Clear,Standard,0.26,4195.5,7.62
SHP20252,Hyderabad,Delhi,Road,620,244,7,Clear,Standard,0.36,1808.47,4.55
SHP20253,Hyderabad,Kochi,Air,660,490,1,Clear,Standard,2.19,4335.91,5.66
SHP20254,Chennai,Pune,Road,1777,236,7,Clear,Standard,1.32,4168.3,9.17
SHP20255,Delhi,Pune,Road,1904,475,3,Clear,Standard,1.17,4113.8,7.45
SHP20256,Chennai,Delhi,Rail,1009,64,9,Rain,Standard,0.27,2077.38,8.61
SHP20257,Bangalore,Pune,Sea,2129,233,6,Rain,Standard,1.62,2029.01,12.46
SHP20258,Chennai,Mumbai,Rail,581,78,9,Clear,Standard,2.17,525.01,8.76
SHP20259,Chennai,Bangalore,Rail,1227,151,5,Clear,Urgent,2.07,1708.79,9.37
SHP20260,Mumbai,Chennai,Road,1141,123,7,Clear,Standard,1.57,2572.37,6.92
SHP20261,Hyderabad,Bangalore,Rail,1951,214,4,Clear,Standard,0.19,3139.49,8.25
SHP20262,Delhi,Kochi,Sea,933,432,7,Rain,Standard,0.28,1007.7,9.28
SHP20263,Chennai,Chennai,Road,1728,176,1,Clear,Standard,0.12,3339.74,5.6
SHP20264,Delhi,Coimbatore,Road,2176,117,7,Clear,Standard,0.64,4942.44,6.71
SHP20265,Chennai,Chennai,Air,1799,245,8,Clear,Urgent,0.34,11011.94,5.06
SHP20266,Bangalore,Bangalore,Rail,831,431,5,Clear,Standard,0.65,1598.45,8.01
SHP20267,Chennai,Delhi,Rail,2155,224,2,Rain,Standard,0.96,3033.44,9.68
SHP20268,Mumbai,Chennai,Rail,930,98,5,Storm,Standard,2.36,1526.59,10.68
SHP20269,Hyderabad,Coimbatore,Road,496,143,6,Clear,Standard,1.53,1143.24,5.98
SHP20270,Bangalore,Coimbatore,Road,2163,490,2,Clear,Urgent,2.09,4605.25,8.92
SHP20271,Chennai,Coimbatore,Air,1833,447,6,Rain,Urgent,1.78,11805.77,7.12
SHP20272,Delhi,Bangalore,Air,1327,237,6,Rain,Standard,0.28,8220.55,4.04
SHP20273,Bangalore,Chennai,Air,2041,23,1,Clear,Urgent,1.84,11967.46,6.03
SHP20274,Bangalore,Hyderabad,Sea,1117,109,1,Clear,Standard,0.69,1407.2,8.84
SHP20275,Chennai,Delhi,Road,1627,123,10,Clear,Urgent,1.6,3836.72,7.0
SHP20276,Bangalore,Mumbai,Road,1061,412,3,Clear,Standard,0.85,3039.68,6.08
SHP20277,Delhi,Chennai,Air,823,138,10,Clear,Urgent,2.49,5642.69,4.62
SHP20278,Bangalore,Coimbatore,Rail,1864,152,10,Clear,Urgent,0.66,2592.96,7.95
SHP20279,Delhi,Hyderabad,Rail,1251,331,3,Clear,Standard,0.7,2053.29,7.9
SHP20280,Chennai,Mumbai,Air,1500,115,4,Clear,Standard,2.33,9018.34,6.44
SHP20281,Hyderabad,Mumbai,Air,356,487,2,Rain,Urgent,0.06,2353.15,2.97
SHP20282,Bangalore,Kochi,Road,828,453,9,Clear,Urgent,1.74,2266.9,7.05
SHP20283,Hyderabad,Chennai,Road,57,350,10,Clear,Standard,1.81,1024.38,6.21
SHP20284,Delhi,Bangalore,Road,525,162,7,Clear,Standard,2.09,1509.53,6.88
SHP20285,Bangalore,Chennai,Rail,1370,307,7,Clear,Standard,2.44,1954.58,9.93
