Shipment_ID,Origin,Destination,Transport_Mode,Zone,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Transportation_Cost_INR,On_Time
SHP10030,Mumbai,Bangalore,Air,North,420,1759,5.8,11355.14,No
SHP10031,Chennai,Chennai,Air,East,426,192,1.07,1543.88,Yes
SHP10032,Chennai,Coimbatore,Sea,East,301,155,7.43,315.14,Yes
SHP10033,Mumbai,Chennai,Sea,East,488,936,7.7,806.5,Yes
SHP10034,Bangalore,Chennai,Rail,West,105,477,3.91,347.65,Yes
SHP10035,Bangalore,Hyderabad,Air,East,269,1378,2.91,9076.61,Yes
SHP10036,Chennai,Pune,Sea,South,410,1945,9.96,1711.4,Yes
SHP10037,Mumbai,Coimbatore,Air,South,289,2044,4.12,13189.45,No
SHP10038,Chennai,Kochi,Road,West,354,366,3.47,1271.99,Yes
SHP10039,Chennai,Delhi,Road,West,136,2036,5.33,3781.2,Yes
SHP10040,Hyderabad,Bangalore,Road,East,26,684,4.57,1221.86,Yes
SHP10041,Hyderabad,Kochi,Sea,North,156,1975,8.53,2388.29,Yes
SHP10042,Hyderabad,Bangalore,Rail,West,390,2106,8.5,2874.97,No
SHP10043,Bangalore,Hyderabad,Road,West,195,1489,5.97,3133.85,Yes
SHP10044,Mumbai,Bangalore,Rail,East,347,602,3.97,1273.19,Yes
SHP10045,Mumbai,Chennai,Rail,East,334,765,5.37,1528.71,Yes
SHP10046,Mumbai,Coimbatore,Road,West,234,1337,4.9,2913.09,Yes
SHP10047,Mumbai,Delhi,Road,North,496,1763,6.63,3837.43,No
SHP10048,Hyderabad,Mumbai,Rail,West,101,1933,8.81,3198.83,No
SHP10049,Bangalore,Bangalore,Road,East,242,1157,3.5,3237.82,Yes
SHP10050,Bangalore,Kochi,Air,East,497,1391,3.66,9626.48,Yes
SHP10051,Hyderabad,Chennai,Road,West,391,160,3.69,621.97,Yes
SHP10052,Bangalore,Mumbai,Air,North,442,300,2.53,2021.67,Yes
SHP10053,Hyderabad,Delhi,Rail,West,421,2104,7.95,2927.75,No
SHP10054,Mumbai,Mumbai,Rail,West,462,508,4.53,1176.35,Yes
SHP10055,Hyderabad,Chennai,Air,East,122,1157,2.86,7441.65,Yes
SHP10056,Mumbai,Coimbatore,Road,North,292,257,3.2,1218.41,Yes
SHP10057,Mumbai,Coimbatore,Road,South,33,949,6.14,2253.04,Yes
SHP10058,Chennai,Pune,Road,North,178,71,3.73,250.0,Yes
SHP10059,Hyderabad,Coimbatore,Air,West,171,459,4.01,3410.76,No
SHP10060,Chennai,Pune,Rail,West,127,944,5.89,1019.92,Yes
SHP10061,Hyderabad,Mumbai,Rail,West,207,564,4.66,785.55,Yes
SHP10062,Hyderabad,Hyderabad,Road,North,320,858,3.41,2183.41,Yes
SHP10063,Chennai,Kochi,Road,East,117,923,3.22,2739.52,Yes
SHP10064,Chennai,Kochi,Road,West,150,63,2.11,1326.77,Yes
SHP10065,Hyderabad,Mumbai,Road,West,312,1020,5.44,2573.59,Yes
SHP10066,Bangalore,Bangalore,Rail,North,190,2184,8.37,3012.61,No
SHP10067,Mumbai,Bangalore,Road,South,443,1610,4.5,3956.9,Yes
SHP10068,Chennai,Coimbatore,Road,South,493,1374,6.61,3647.26,No
SHP10069,Mumbai,Kochi,Sea,East,202,1316,8.54,1240.1,Yes
SHP10070,Bangalore,Kochi,Road,East,490,799,4.98,2623.52,Yes
SHP10071,Bangalore,Pune,Road,West,383,734,6.34,1878.37,Yes
SHP10072,Bangalore,Hyderabad,Air,North,58,1977,5.34,12517.6,No
SHP10073,Chennai,Chennai,Road,West,34,744,4.48,1820.85,Yes
SHP10074,Bangalore,Bangalore,Rail,East,395,356,4.16,990.34,Yes
SHP10075,Chennai,Kochi,Air,North,23,2039,2.39,12965.27,Yes
SHP10076,Bangalore,Pune,Sea,North,368,711,7.37,656.12,Yes
SHP10077,Mumbai,Delhi,Road,East,489,598,4.31,1409.56,Yes
SHP10078,Mumbai,Pune,Sea,South,428,361,6.57,250.0,Yes
SHP10079,Hyderabad,Bangalore,Road,South,416,1132,5.21,2889.37,Yes
SHP10080,Mumbai,Bangalore,Road,North,229,1787,6.43,4235.75,Yes
SHP10081,Hyderabad,Pune,Road,West,180,804,4.61,2005.55,Yes
SHP10082,Mumbai,Chennai,Sea,South,35,84,6.48,685.87,Yes
SHP10083,Chennai,Mumbai,Road,West,445,494,4.53,1326.96,Yes
SHP10084,Mumbai,Bangalore,Road,South,127,2190,7.41,4958.62,No
SHP10085,Hyderabad,Pune,Rail,South,401,2032,6.54,2733.05,Yes
SHP10086,Hyderabad,Kochi,Road,West,469,1280,6.98,2902.12,No
SHP10087,Bangalore,Pune,Road,East,330,402,4.12,1415.26,Yes
SHP10088,Chennai,Hyderabad,Road,South,246,952,5.08,2507.13,Yes
SHP10089,Mumbai,Mumbai,Road,South,189,1405,6.47,3008.2,Yes
SHP10090,Bangalore,Delhi,Road,West,53,1798,6.6,3798.93,No
SHP10091,Mumbai,Chennai,Road,East,433,208,4.87,309.2,Yes
SHP10092,Mumbai,Coimbatore,Rail,South,270,2027,7.91,2848.1,No
SHP10093,Bangalore,Delhi,Road,South,266,1006,4.54,2606.74,Yes
SHP10094,Bangalore,Mumbai,Road,East,288,2121,7.22,4874.81,No
SHP10095,Bangalore,Mumbai,Air,South,160,453,0.95,3217.62,Yes
SHP10096,Bangalore,Mumbai,Road,East,293,565,4.58,1415.13,Yes
SHP10097,Bangalore,Delhi,Rail,East,435,1437,6.68,2279.1,Yes
SHP10098,Mumbai,Kochi,Road,West,115,1005,4.94,1970.88,Yes
SHP10099,Bangalore,Mumbai,Road,North,246,1762,6.18,4141.14,Yes
SHP10100,Chennai,Pune,Road,East,398,657,2.73,1869.58,Yes
SHP10101,Hyderabad,Delhi,Road,West,58,1323,5.09,3007.32,Yes
SHP10102,Bangalore,Coimbatore,Road,North,321,1585,6.13,3377.64,Yes
SHP10103,Bangalore,Mumbai,Road,South,48,1491,6.05,2410.25,Yes
SHP10104,Mumbai,Pune,Road,North,465,1847,5.41,4593.36,Yes
SHP10105,Bangalore,Kochi,Road,East,496,344,5.39,1030.62,Yes
SHP10106,Bangalore,Hyderabad,Road,East,337,804,3.97,1680.46,Yes
SHP10107,Bangalore,Kochi,Road,East,264,1444,6.79,3471.25,No
SHP10108,Mumbai,Coimbatore,Road,East,255,235,4.39,594.4,Yes
SHP10109,Bangalore,Mumbai,Road,East,204,1319,4.98,3334.7,Yes
SHP10110,Hyderabad,Coimbatore,Rail,West,291,686,7.33,1416.97,No
SHP10111,Mumbai,Delhi,Road,East,459,1341,4.47,3500.95,Yes
SHP10112,Hyderabad,Bangalore,Air,West,255,579,3.21,3391.25,Yes
SHP10113,Mumbai,Mumbai,Rail,South,258,2118,8.76,3518.73,No
SHP10114,Bangalore,Bangalore,Road,East,396,843,4.23,2180.83,Yes
SHP10115,Hyderabad,Pune,Air,East,285,2197,6.17,13895.34,No
SHP10116,Mumbai,Hyderabad,Sea,North,433,527,7.56,819.43,Yes
SHP10117,Chennai,Chennai,Road,South,428,1672,6.46,3283.07,Yes
SHP10118,Bangalore,Coimbatore,Road,East,378,989,5.38,2551.14,Yes
SHP10119,Mumbai,Kochi,Air,East,359,575,2.15,3583.76,Yes
SHP10120,Chennai,Hyderabad,Rail,South,408,51,5.39,250.0,Yes
SHP10121,Mumbai,Mumbai,Road,West,84,424,5.05,441.11,Yes
SHP10122,Chennai,Bangalore,Road,East,497,602,2.78,2139.44,Yes
SHP10123,Bangalore,Kochi,Road,North,196,1575,7.33,3215.74,No
SHP10124,Hyderabad,Bangalore,Road,East,22,1901,4.86,4544.29,Yes
SHP10125,Chennai,Delhi,Rail,North,448,430,6.19,700.93,Yes
SHP10126,Mumbai,Bangalore,Road,North,161,1696,7.34,3109.14,No
SHP10127,Bangalore,Delhi,Road,East,395,63,2.61,250.0,Yes
SHP10128,Chennai,Pune,Rail,East,177,553,4.94,1305.97,Yes
SHP10129,Mumbai,Kochi,Road,North,343,2058,5.66,4549.22,Yes
SHP10130,Mumbai,Kochi,Road,South,165,179,3.66,339.54,Yes
SHP10131,Mumbai,Chennai,Rail,South,465,887,5.56,1673.73,Yes
SHP10132,Chennai,Mumbai,Air,East,312,2090,5.4,13524.5,No
SHP10133,Chennai,Delhi,Road,West,172,77,5.03,699.42,Yes
SHP10134,Chennai,Chennai,Road,South,451,2163,8.32,5420.45,No
SHP10135,Hyderabad,Bangalore,Road,East,212,1302,5.04,2766.67,Yes
SHP10136,Chennai,Bangalore,Road,South,456,310,3.87,571.48,Yes
SHP10137,Chennai,Chennai,Road,West,482,2096,5.14,4684.9,Yes
SHP10138,Chennai,Kochi,Road,East,92,1522,5.14,3375.1,Yes
SHP10139,Hyderabad,Bangalore,Road,West,418,1497,6.87,3169.65,No
SHP10140,Chennai,Coimbatore,Road,East,324,509,6.0,1030.03,Yes
SHP10141,Mumbai,Pune,Road,West,396,350,2.9,1131.59,Yes
SHP10142,Chennai,Pune,Road,South,363,679,4.05,1701.51,Yes
SHP10143,Mumbai,Coimbatore,Road,South,471,319,4.06,984.4,Yes
SHP10144,Mumbai,Chennai,Road,West,159,2043,7.02,4140.71,No
SHP10145,Mumbai,Coimbatore,Road,West,206,1678,5.37,3628.87,Yes
SHP10146,Hyderabad,Delhi,Air,West,312,1851,4.67,11619.34,No
SHP10147,Hyderabad,Delhi,Rail,East,80,911,5.43,1595.48,Yes
SHP10148,Hyderabad,Chennai,Rail,South,446,1330,6.53,2507.74,Yes
SHP10149,Chennai,Coimbatore,Air,East,399,1849,4.79,11373.06,No
SHP10150,Mumbai,Delhi,Road,South,217,1756,6.31,3517.09,Yes
SHP10151,Hyderabad,Kochi,Road,North,314,625,4.13,1052.42,Yes
SHP10152,Hyderabad,Coimbatore,Road,East,459,2053,6.65,4498.68,No
SHP10153,Chennai,Kochi,Rail,South,338,1357,6.5,2094.02,Yes
SHP10154,Hyderabad,Delhi,Rail,South,321,2006,7.22,2427.89,No
SHP10155,Chennai,Pune,Road,East,363,2070,6.53,4303.11,No
SHP10156,Bangalore,Delhi,Road,East,30,1705,7.82,3256.78,No
SHP10157,Hyderabad,Kochi,Road,South,81,1629,6.67,3561.44,No
SHP10158,Bangalore,Hyderabad,Road,East,352,1897,6.22,4233.91,Yes
SHP10159,Chennai,Mumbai,Rail,West,245,1440,7.41,1915.31,No
SHP10160,Mumbai,Bangalore,Rail,East,172,1792,6.92,2593.35,Yes
SHP10161,Hyderabad,Coimbatore,Road,East,218,1975,7.81,4154.21,No
SHP10162,Chennai,Hyderabad,Sea,East,71,669,8.4,575.27,Yes
SHP10163,Mumbai,Delhi,Rail,South,279,1324,6.43,2647.9,Yes
SHP10164,Mumbai,Pune,Road,West,78,1006,5.6,2642.01,Yes
SHP10165,Bangalore,Chennai,Road,North,91,1989,5.09,3791.0,Yes
SHP10166,Chennai,Delhi,Road,North,167,1018,4.04,2544.04,Yes
SHP10167,Mumbai,Pune,Road,West,368,1366,4.51,3428.6,Yes
SHP10168,Hyderabad,Mumbai,Road,West,82,1093,5.42,1971.77,Yes
SHP10169,Hyderabad,Delhi,Road,West,329,331,5.84,1310.24,Yes
SHP10170,Bangalore,Kochi,Road,South,392,1108,7.54,3167.93,No
SHP10171,Mumbai,Chennai,Road,North,262,247,4.62,335.8,Yes
SHP10172,Chennai,Pune,Air,West,385,1132,3.64,7216.99,Yes
SHP10173,Hyderabad,Pune,Road,South,349,1234,3.7,3282.28,Yes
SHP10174,Mumbai,Pune,Road,North,126,1058,4.69,2424.36,Yes
SHP10175,Mumbai,Mumbai,Road,East,245,1279,4.78,3070.25,Yes
SHP10176,Bangalore,Delhi,Sea,South,332,1085,8.05,1329.94,Yes
SHP10177,Hyderabad,Mumbai,Road,North,237,539,4.26,1479.67,Yes
SHP10178,Hyderabad,Coimbatore,Road,South,444,325,3.63,502.91,Yes
SHP10179,Chennai,Bangalore,Sea,North,260,1289,7.0,1745.38,Yes
SHP10180,Hyderabad,Bangalore,Air,North,278,1324,4.18,8938.4,No
SHP10181,Chennai,Coimbatore,Air,East,395,175,0.6,1553.32,Yes
SHP10182,Hyderabad,Delhi,Road,South,281,266,4.25,732.63,Yes
SHP10183,Bangalore,Kochi,Road,West,24,1258,7.61,2126.35,No
SHP10184,Hyderabad,Mumbai,Rail,East,280,1296,5.57,2157.27,Yes
SHP10185,Chennai,Chennai,Sea,East,73,968,5.96,1163.55,Yes
SHP10186,Chennai,Pune,Rail,North,66,1367,6.32,1867.46,Yes
SHP10187,Bangalore,Pune,Rail,West,234,1711,8.23,2901.99,No
SHP10188,Hyderabad,Delhi,Road,South,196,357,6.11,797.83,Yes
SHP10189,Hyderabad,Kochi,Air,West,28,1409,2.34,8968.77,Yes
SHP10190,Bangalore,Bangalore,Road,West,118,2019,7.2,3984.17,No
SHP10191,Hyderabad,Bangalore,Road,West,39,941,4.58,2002.31,Yes
SHP10192,Hyderabad,Pune,Road,West,397,424,4.15,1198.51,Yes
SHP10193,Chennai,Delhi,Road,West,260,2083,9.45,4644.81,No
SHP10194,Hyderabad,Mumbai,Road,North,80,1414,4.27,2915.03,Yes
SHP10195,Hyderabad,Bangalore,Road,North,398,178,4.13,653.89,Yes
SHP10196,Bangalore,Mumbai,Rail,East,438,1064,6.6,2017.99,Yes
SHP10197,Bangalore,Kochi,Road,North,197,1849,7.53,3860.26,No
SHP10198,Mumbai,Bangalore,Rail,East,357,1431,6.8,1640.98,Yes
SHP10199,Chennai,Bangalore,Road,East,81,566,4.78,1875.68,Yes
SHP10200,Hyderabad,Hyderabad,Road,South,164,1568,5.62,3923.05,Yes
SHP10201,Hyderabad,Bangalore,Road,West,235,135,4.08,250.0,Yes
SHP10202,Mumbai,Coimbatore,Road,North,22,1248,5.18,2880.37,Yes
SHP10203,Hyderabad,Chennai,Road,South,179,1192,6.06,2470.09,Yes
SHP10204,Chennai,Coimbatore,Road,North,246,2043,6.37,4553.02,Yes
SHP10205,Mumbai,Delhi,Road,East,288,352,4.52,1060.53,Yes
SHP10206,Chennai,Delhi,Sea,North,139,637,7.95,599.2,Yes
SHP10207,Mumbai,Mumbai,Road,West,400,1036,6.32,2170.04,Yes
SHP10208,Mumbai,Coimbatore,Air,East,108,1913,4.29,11735.46,No
SHP10209,Bangalore,Coimbatore,Road,East,348,394,2.43,804.4,Yes
SHP10210,Chennai,Coimbatore,Rail,South,87,863,7.09,952.63,No
SHP10211,Hyderabad,Kochi,Air,West,417,2037,3.63,13231.02,Yes
SHP10212,Hyderabad,Bangalore,Rail,East,376,1360,5.94,1952.43,Yes
SHP10213,Chennai,Chennai,Road,West,117,2049,6.16,4643.56,Yes
SHP10214,Hyderabad,Mumbai,Road,North,286,1727,7.63,4373.65,No
SHP10215,Hyderabad,Coimbatore,Road,West,124,1377,3.58,2796.44,Yes
SHP10216,Chennai,Coimbatore,Sea,East,459,1142,11.89,1459.9,No
SHP10217,Mumbai,Hyderabad,Air,South,342,1059,4.09,7090.86,No
SHP10218,Chennai,Mumbai,Sea,East,142,753,8.38,957.44,Yes
SHP10219,Mumbai,Coimbatore,Road,West,495,624,4.51,1803.44,Yes
SHP10220,Hyderabad,Mumbai,Rail,West,48,1658,7.34,2535.59,No
SHP10221,Hyderabad,Bangalore,Sea,East,156,1162,9.31,1363.41,Yes
SHP10222,Hyderabad,Hyderabad,Road,West,214,737,5.38,1296.76,Yes
SHP10223,Bangalore,Mumbai,Road,North,428,538,4.98,1736.35,Yes
SHP10224,Mumbai,Chennai,Rail,East,245,1397,6.74,2385.25,Yes
SHP10225,Bangalore,Chennai,Rail,South,351,543,5.14,732.81,Yes
SHP10226,Bangalore,Delhi,Air,East,189,1717,3.89,10842.79,Yes
SHP10227,Chennai,Hyderabad,Road,North,28,1687,6.0,3800.03,Yes
SHP10228,Bangalore,Hyderabad,Air,North,482,68,2.64,1027.53,Yes
SHP10229,Chennai,Delhi,Road,North,59,1050,5.81,2624.1,Yes
SHP10230,Chennai,Mumbai,Road,North,44,900,2.04,2753.72,Yes
SHP10231,Bangalore,Hyderabad,Road,North,280,1438,6.47,2954.02,Yes
SHP10232,Mumbai,Chennai,Air,South,414,1404,3.75,8829.17,Yes
SHP10233,Mumbai,Chennai,Rail,West,462,1417,6.66,2358.09,Yes
SHP10234,Mumbai,Coimbatore,Road,North,245,871,4.55,2276.34,Yes
SHP10235,Mumbai,Bangalore,Road,North,491,504,5.5,1446.1,Yes
SHP10236,Mumbai,Hyderabad,Air,East,143,1674,4.92,11089.74,No
SHP10237,Bangalore,Mumbai,Road,South,482,760,4.0,1468.26,Yes
SHP10238,Bangalore,Delhi,Air,South,57,966,3.29,6311.15,Yes
SHP10239,Hyderabad,Delhi,Road,West,347,1546,5.01,3313.87,Yes
SHP10240,Mumbai,Mumbai,Road,South,270,1490,4.51,3950.53,Yes
SHP10241,Bangalore,Kochi,Road,East,408,354,3.52,1721.51,Yes
SHP10242,Hyderabad,Pune,Road,East,195,785,5.67,1510.63,Yes
SHP10243,Mumbai,Bangalore,Rail,West,109,2013,8.55,2623.53,No
SHP10244,Chennai,Delhi,Road,East,421,2199,7.5,5263.44,No
SHP10245,Hyderabad,Hyderabad,Road,North,473,2059,7.49,4565.51,No
SHP10246,Bangalore,Bangalore,Air,North,56,1011,3.47,6328.13,Yes
SHP10247,Chennai,Hyderabad,Road,East,335,1076,4.61,2575.21,Yes
SHP10248,Chennai,Kochi,Road,West,195,2182,7.39,4046.27,No
SHP10249,Chennai,Chennai,Sea,South,480,1523,10.14,1725.7,No
SHP10250,Hyderabad,Bangalore,Rail,West,303,1997,8.33,2663.23,No
SHP10251,Bangalore,Coimbatore,Road,South,472,1227,6.68,2833.86,No
SHP10252,Chennai,Delhi,Sea,East,480,714,8.81,1472.82,Yes
SHP10253,Mumbai,Bangalore,Rail,East,100,61,4.95,250.0,Yes
SHP10254,Chennai,Bangalore,Road,North,133,1206,6.53,2905.64,No
SHP10255,Chennai,Bangalore,Road,South,59,353,4.12,682.63,Yes
SHP10256,Hyderabad,Pune,Air,West,320,1813,3.31,11498.65,Yes
SHP10257,Hyderabad,Bangalore,Rail,East,243,92,4.48,579.24,Yes
SHP10258,Bangalore,Hyderabad,Road,West,337,993,4.38,2449.96,Yes
SHP10259,Mumbai,Chennai,Air,North,368,1399,2.88,9406.89,Yes
SHP10260,Hyderabad,Kochi,Air,South,134,940,2.7,6313.56,Yes
SHP10261,Chennai,Mumbai,Road,South,205,1054,4.43,2248.71,Yes
SHP10262,Bangalore,Bangalore,Road,East,342,70,3.4,250.0,Yes
SHP10263,Chennai,Delhi,Road,South,75,456,2.41,637.94,Yes
SHP10264,Chennai,Bangalore,Rail,East,59,1064,6.35,1201.76,Yes
SHP10265,Hyderabad,Delhi,Road,North,373,385,4.19,2088.18,Yes
SHP10266,Bangalore,Hyderabad,Rail,South,59,1888,6.59,3032.55,Yes
SHP10267,Mumbai,Delhi,Air,East,366,1197,3.9,7306.53,Yes
SHP10268,Mumbai,Coimbatore,Air,West,480,1877,5.23,11651.58,No
SHP10269,Hyderabad,Mumbai,Road,East,256,764,3.17,2020.43,Yes
SHP10270,Hyderabad,Chennai,Air,South,308,100,0.79,1130.38,Yes
SHP10271,Bangalore,Delhi,Road,North,281,373,3.4,1209.11,Yes
SHP10272,Mumbai,Delhi,Air,South,235,838,1.75,5384.13,Yes
SHP10273,Mumbai,Chennai,Road,South,166,190,4.72,482.09,Yes
SHP10274,Mumbai,Mumbai,Road,East,355,519,4.2,1546.86,Yes
SHP10275,Chennai,Bangalore,Air,West,187,836,2.42,5394.99,Yes
SHP10276,Mumbai,Delhi,Road,South,111,1875,4.48,3258.31,Yes
SHP10277,Chennai,Chennai,Road,West,372,1407,6.4,3241.37,Yes
SHP10278,Bangalore,Coimbatore,Rail,East,78,1966,6.29,2421.76,Yes
SHP10279,Chennai,Coimbatore,Rail,West,78,1013,6.12,1505.1,Yes
SHP10280,Bangalore,Hyderabad,Rail,East,323,422,5.43,1827.34,Yes
SHP10281,Mumbai,Chennai,Rail,North,188,1742,8.54,2628.98,No
SHP10282,Mumbai,Hyderabad,Road,West,288,1229,4.18,2682.46,Yes
SHP10283,Bangalore,Coimbatore,Road,West,382,1721,3.23,4281.71,Yes
SHP10284,Hyderabad,Mumbai,Road,North,64,155,4.02,558.01,Yes
SHP10285,Bangalore,Bangalore,Road,West,364,1493,7.7,3548.91,No
SHP10286,Hyderabad,Chennai,Sea,North,200,1731,10.9,1977.23,No
SHP10287,Chennai,Kochi,Rail,South,189,51,4.79,923.08,Yes
SHP10288,Chennai,Coimbatore,Road,East,375,2187,6.47,4513.21,Yes
SHP10289,Chennai,Coimbatore,Road,North,210,399,5.02,1173.14,Yes
SHP10290,Mumbai,Kochi,Sea,West,174,1336,8.08,1063.39,Yes
SHP10291,Chennai,Pune,Road,North,441,1112,5.79,2908.48,Yes
SHP10292,Hyderabad,Coimbatore,Rail,West,207,494,5.77,503.88,Yes
SHP10293,Chennai,Delhi,Road,South,26,1001,6.2,1973.73,Yes
SHP10294,Bangalore,Mumbai,Rail,North,152,85,7.39,250.0,No
SHP10295,Bangalore,Chennai,Road,South,254,1157,5.77,2954.4,Yes
SHP10296,Mumbai,Kochi,Air,East,64,1525,3.24,9846.57,Yes
SHP10297,Bangalore,Delhi,Sea,West,333,1848,9.82,1536.22,Yes
SHP10298,Hyderabad,Kochi,Rail,West,268,1895,5.65,2803.14,Yes
SHP10299,Chennai,Chennai,Rail,South,50,1458,6.05,1761.37,Yes
SHP10300,Mumbai,Hyderabad,Sea,East,42,1245,8.51,761.95,Yes
SHP10301,Chennai,Chennai,Rail,North,445,1449,6.21,2302.79,Yes
SHP10302,Chennai,Pune,Road,North,413,1758,6.46,3955.62,Yes
SHP10303,Hyderabad,Chennai,Rail,West,179,1435,5.89,2905.52,Yes
SHP10304,Bangalore,Chennai,Rail,South,382,1350,7.7,2315.86,No
SHP10305,Bangalore,Pune,Road,South,456,1293,5.59,2614.2,Yes
SHP10306,Chennai,Mumbai,Rail,North,177,570,5.37,690.32,Yes
SHP10307,Mumbai,Coimbatore,Sea,East,58,1856,9.53,2152.78,Yes
SHP10308,Bangalore,Chennai,Sea,East,434,59,7.25,1030.03,Yes
SHP10309,Mumbai,Pune,Road,North,101,1033,6.01,1684.87,Yes
SHP10310,Bangalore,Delhi,Road,North,375,1706,5.36,3292.3,Yes
SHP10311,Mumbai,Hyderabad,Sea,South,277,1710,8.97,2459.49,Yes
SHP10312,Hyderabad,Hyderabad,Air,East,225,769,2.28,5201.45,Yes
SHP10313,Mumbai,Chennai,Road,North,96,1122,3.98,2129.71,Yes
SHP10314,Hyderabad,Mumbai,Sea,North,496,908,7.58,1318.51,Yes
SHP10315,Hyderabad,Mumbai,Air,West,31,1366,3.03,7587.35,Yes
SHP10316,Mumbai,Delhi,Road,North,314,1653,7.02,3735.1,No
SHP10317,Hyderabad,Chennai,Rail,North,469,99,4.91,559.06,Yes
SHP10318,Chennai,Hyderabad,Road,East,243,195,4.09,933.35,Yes
SHP10319,Hyderabad,Mumbai,Road,South,32,964,5.93,1699.31,Yes
SHP10320,Bangalore,Chennai,Road,East,65,1512,5.79,3257.54,Yes
SHP10321,Mumbai,Kochi,Air,South,174,630,2.76,3754.02,Yes
SHP10322,Chennai,Mumbai,Road,West,132,1634,6.01,3642.63,Yes
SHP10323,Mumbai,Pune,Road,North,252,532,4.68,983.38,Yes
SHP10324,Bangalore,Kochi,Road,West,36,1299,5.02,2611.46,Yes
SHP10325,Bangalore,Coimbatore,Road,South,379,722,2.27,1432.7,Yes
SHP10326,Bangalore,Mumbai,Sea,East,242,680,7.91,1000.16,Yes
SHP10327,Hyderabad,Hyderabad,Road,East,373,711,6.12,2133.89,Yes
SHP10328,Hyderabad,Bangalore,Road,West,207,1037,6.12,2266.77,Yes
SHP10329,Mumbai,Kochi,Rail,South,467,1596,7.92,2501.31,No
SHP10330,Mumbai,Coimbatore,Road,West,363,699,5.91,1307.93,Yes
SHP10331,Chennai,Delhi,Road,West,384,1018,5.25,2400.27,Yes
SHP10332,Chennai,Delhi,Road,North,182,1150,5.57,2570.95,Yes
SHP10333,Mumbai,Hyderabad,Road,West,345,490,3.74,2196.74,Yes
SHP10334,Hyderabad,Mumbai,Road,North,486,970,4.78,2037.8,Yes
SHP10335,Bangalore,Chennai,Road,North,433,819,5.48,2663.02,Yes
SHP10336,Mumbai,Mumbai,Road,East,474,1393,6.95,3709.3,No
SHP10337,Chennai,Hyderabad,Sea,North,93,1876,9.75,1921.97,Yes
SHP10338,Hyderabad,Delhi,Road,North,252,312,3.63,1437.91,Yes
SHP10339,Mumbai,Mumbai,Rail,East,243,1627,7.0,2522.79,No
SHP10340,Mumbai,Delhi,Rail,West,338,1048,6.71,1877.96,Yes
SHP10341,Hyderabad,Kochi,Road,South,431,749,3.31,1913.73,Yes
SHP10342,Mumbai,Coimbatore,Rail,South,79,1653,4.75,2724.52,Yes
SHP10343,Hyderabad,Chennai,Road,South,354,1291,5.04,3334.87,Yes
SHP10344,Bangalore,Kochi,Sea,West,241,1175,7.59,1042.48,Yes
SHP10345,Hyderabad,Delhi,Road,North,56,1240,5.0,2194.68,Yes
SHP10346,Hyderabad,Delhi,Road,South,496,1055,5.08,2529.82,Yes
